reviews,rating
"Lucky they even get the rating they do. Placed a mobile app order at 9:49am and was still waiting for 3 sandwiches 45 minutes later. Not a single person acknowledged me standing at the front counter, but had no problem passing orders out to those using the kiosk. Go thru the drive thru to be given the excuse that their ""short handed"", yet I spent 45 minutes INSIDE and seen plenty of employees. My order was wrong twice. Absolutely cold food. Sent a complaint to corporate because this is unacceptable. This location is full of tourist and I hate for these people visiting our state and area to be treated the way I was. Absolutely uncalled for!",1 star
Excellent and fast service. The food was good.,5 stars
"Typical McDonalds but extremely long waits due to proximity to tourist attractions.  Be prepared to wait 20+ mins in the drive thru, even for a mobile order",4 stars
"Food was cold drinks missing
The manager is rude the advertising is false. She accused us of lieing when we said we weren't asked about the rewards to receive the free cookie.  Very hostile !",1 star
"Quick food, pretty clean environment, cheap food. It's a McDonald's, they don't vary too much in general. Though there are outliers, this one is consistent with what I've come to expect of McDonald's.",5 stars
"TERRIBLE SERVICE!
Asked for the manager for refil e he turn around and started to do another thing completely different. ZERO ATTENTION TO CUSTOMER. Iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",1 star
"Very polite service. Very clean. One has the ability to self order. Playhouse for the little ones!

Thank you Ileanna for the great coroner service. Keep up the great work!!",4 stars
What a wild location. Went here twice while on vacation and each time there were police near by. People darting across the parking lot.,3 stars
"For a McDonalds I was pleased. Ordered at a kiosk, but they brought us our food to the table. Order was correct and food arrived quickly. Quite clean.",4 stars
No one to take your order it's all done on kiosks had to have my ice coffee remade because they couldn't get it right the first time,2 stars
"I understand the profit-drive to push automation, but it seems to not work here. 35 minutes wait for two standard egg McMuffin meals mid morning is unacceptable for fast food.",1 star
Very long wait time but the food was good and the young lady at the second window was so nice,5 stars
Lost our order. Waited 45 min for a burger fries and a box of nuggets. Then they accuse us of trying to get a duplicate order for Free. They clearly have problems.  We tossed a twenty dollar bill at them and asked for the food. NEVER GO to this location.  EVER,1 star
"I needed a quick meal will on break at the Gaylord Palm business convention.

Pros: any location Im at from Shenzhen China to Hawaii to Orlando I can count on McDonalds when I land. They keep the same consistent taste world wide. as a business owner this is admirable. This location was efficient and fast.

Cons: we all know it's not the healthiest food but that had nothing to do with the location
So I only ate it once on my 5 day stay.
McDonald's should explore healthier options for the current market . But still a great experience

10 out of 10.

Stars : 5 ï¿½ï¿½ï¿½ï¿½ï¿½",5 stars
Always clean and super fast ordering on the app,5 stars
I had the worst experience at this location. I went to the drive thru and only ordered 2 hamburgers and a small fry. I paid and pulled up to get my food and was given the wrong order. I let the associate know it wasn't correct. He had me pull up to the wait window to get my correct food. As I sat and waited time was just ticking by. After 15 minutes of patiently waiting I wanted my food. No one came back. I knocked on the glass and no response. As about the 10th car received there food at the window behind me I had to get out of the car and walk back to that window as it was late and the inside was closed. I asked where my food was and he said he was making it. I asked for a refund and was given my slip refund a total of 28 minutes after first paying. I went back in the next day to speak with a manager to let them know that this happened. I had my receipt with the time and the refund receipt with the time 28 minutes later. He said oh I'm sorry they're new. Terrible customer service and uncaring management.,1 star
"Service was trash, took them 20 minutes to take my order (no exaggerations... Seriously), can't even salt fries for some reason, and the employees weren't able to organize correctly. For example, at one point, there were three employees gathered around to fill one order. ONE ORDER!!!! Seriously??? I'd recommend going somewhere else then to spend your time and money here.",1 star
"Never in my life have I gotten an uncooked, red middle burger from McDonald's until today!! Blaht!! YUK!! I nearly never, ever eat ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ from McDonald's let alone a quarter pounder w/ cheese and the ONE tim",3 stars
Worst MCdonalds experience ever. 40 minutes and counting and no order. Don't ever stop here unless you want to get extremely mad,1 star
Employee was rude but it fine ï¿½ï,4 stars
"Waited in the drive thru for literally an hour. If we weren't trapped in line and had been able to leave we would have. They didn't give us any napkins and got our order wrong. The cashier said it's ""always like this"". Absolutely not acceptable. Especially for a McDonald's. Did they forget what FAST food means!?",2 stars
"Food was hot, but service a little slow.  Honestly, though, I've paid 5 times more at Disney and waited for about 5 times as long.  So, putting it in relative perspective, it wasn't that bad for this area.  We're going again this morning (I'm not a fast food fan, but hotel breakfast is just pastries), so I'll update the review if my experience is different.  If I were a local, though, I'd avoid this whole tourist-trap area on Irlo Bronson.",3 stars
Service was terrible wouldn't allowed to use the app couldn't redeem point wouldn't let us use gift card I think they were pocketing the cash they overcharged us and forgot Burger,1 star
"I'm sorry to give only one star. But during our visit were in the children's area 7 of 7 tables or seats are not clean. It was uncomfortable for me to sit there. There were many spots to see, unappetizing. if the area for the guests looks like, how is it in the kitchen. I do not want to imagine it. I will not go there a second time.",1 star
I felt so bad about how crazy busy they were that I wanted to jump behind the counter and help hand out bags! They did the best they could considering how hectic it was... and it was 11pm. It was pretty cool to see the kiosk that you can order from. Much rather order my food through that than a person.,3 stars
Kind of touch and go with this location. Sometimes they're very attentive and sometimes they don't listen when you're trying to give them your order. Late night is when I've generally had problems with their service. Otherwise they are pretty good.,4 stars
I placed my order at 7:33pm tonight and got the order at about 8:15pm.  I had to call to make sure they received my order. Apparently they either forgot or overlooked it.  Usually they would throw in a free item to make you happy..   not this place.,1 star
"This was the worst McDonald's I've been in. We ordered using the kiosk and  they had numbers to pick up and take to your table where they would deliver your food. We waited 20 minutes for the food and it was dropped on our table without any courtesy. The coffee I ordered was missing as was the cup for my husband's drink. He went to the counter to get it and they didn't believe him at first. My coffee had the label on it for what I'd ordered but it didn't have any sugar in it so I added one and stirred it, took a sip and got a mouthful of grounds. The egg and sausage mcmuffin was cold as were the hash browns and  the coffee was tepid. I assume it had been ready quite a while before it was delivered. Usually when I get this meal things are quite hot. The whole thing was pretty dissatisfying and put me off McDonald's for a while. The staff didn't seem to be receptive to complaints so I made an online complaint on the McDonald's website and we left.",1 star
"I placed an order about an hour ago only to find out that half of my order was missing. I called this location to let them know that I was missing half my order. The manager, Judith, stated that if I don't come before 4am them I'd have to wait until the next day to receive my order. Although I do understand that their menu items are schedule based, I think its highly unprofessional to turn their problem into mine. I understand that my items were not available after that time, but she was extremely unhelpful in finding a solution to the problem they created. I asked to speak to a manager and was told the manager is on vacation. The call ended with her stating that she does not have time to deal with my problem because they are ""too busy"".",1 star
"I want to apologize to anyone that I recommended this particular McDonald's to in the past.
This was the restaurant that I used to recommend to tourists when they were looking for a fast place to eat that was away from the Disney parks, but still close enough to get back to the parks quickly. At that time, it was worth it. The menu was cheap (or at least what you know to expect from a international chain) and, since it's a chain, you know what the food is gong to be like.
So, let's look at what you need to do if you are a member of a chain of restaurants. You need to set yourself apart with your service. This WAS the reason I used to recommend this restaurant. Sadly, I don't think they care anymore. The last time we went, half of the kiosks weren't working. One of the three that was, didn't print receipts. (This plays a part into why the service was so atrocious. Actually there was a lot that played into it.) Now, if you've gone to McDonald's at all recently, you know you pick your food at the kiosk, get a number that you take to your table, pay at the kiosk, sit down and wait for your food. Typically all of that takes about five minutes. Well, this day (and what I've garnered from tourists and locals, on many other days) the team at work decided they weren't going to bring the food to the table. That would have been fine if there was any indication ANYWHERE, but of course that would have been a form of service so that didn't happen. After about 15 minutes of trying to find a place where we could all sit together (only a slight exaggeration) we were told by other customers that were leaving that they weren't calling numbers and you had to wait at the counters.
Ok... So I go up to the counter and wait. We get our food 40 minutes later, and there were the obligatory mess ups that we had to get corrected. No big deal, we are used to this.
My in-laws are visiting and at this point I'm trying to figure why they haven't received their order. It dawned on me  that my father in-law doesn't have a receipt (remember the machine that wasn't printing receipts?).
The person calling numbers is calling the number on the receipt, not the tent number. Apparently, my in-laws food was ready in a master of minutes (amazing since that is all customized) and placed in the ""abandoned order"" area. If we hadn't said anything, they would never have received their food. The lady never once called a tent number. We told another person of the lack of receipt problem. That information never got transmitted to the person calling the numbers. When we spoke with her and told her their was no receipt, she asked us what the receipt number was. We had the tent card in hand and pointed at the receipt plastered on the ice cream machine, and she asked again for the receipt.
Aside from the travesty that was the most important thing a restaurant is to do, the place looked like a slightly cleaned up version of a break room at a local dump. I'm not sure if they just didn't staff well on this shift, but like I said, I've talked to a few tourists and locals and they all say it had been this way a while.",1 star
"The only reason that I stoped to buy at McDonald's was because of my youngest daughter. But what we experienced today put an end to it. The employees at this location did not maintain an order serving  customers in the drive thru area. As you noticed, there are two lines in the drive thru and they are supposedly serve in a first come first serve basis but that was not the case. The associate, instead of been polite, talked to us in a not too pleasant tone. I did not wanted to make things worst so we placed our order and moved on to pay and pick up. Luckily the manager was close by and had the opportunity to address the experience. I hope they take this opportunity to improve their customer service skills and provide customers a much pleasant experience.",2 stars
"Really slow service, took over 15 minutes to receive the food,  after it had been delivered to another table.

When it did arrive, the chicken and burger were cold. Duly sent back, to be fair they were remade and brought pretty quick, but no apology.",1 star
Take the extra 5 minutes to go to a different location!!!! My entire order was incorrect and stuffed into one bag which broke 2 seconds after it was handed to me. The person who took my order was more interested in rushing me then looking to see if it was correct. Went inside to speak with a manger and turns out she was the one who bagged my order! I then got screamed at by some young wanna be Rico suave who shouldï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ve been in the kitche,1 star
"Always a favorite, McD's is still serving up all the favorites - we were there for breakfast and had a short wait. Alas, no dining room availability at this location for now. Very reasonable prices, of course, and some delicious NEW breakfast pastries!",4 stars
"I stopped here yesterday for a quick breakfast on my way to work. I got a bacon, egg and cheese mcgriddle, the hash brown and a caramel frappe. I ended up with food poisoning ï¿½ï¿½ï¿",2 stars
Normally I would give this restaurant five stars but today service was really slow. I placed an order for two Egg McMuffins & a large french vanilla coffee. My wait time was approximately 10 minutes. I also believe on this particular day the restaurant was understaffed. Again usually this restaurant is a five-star McDonald's just not on this day.,4 stars
"First time I had been to a McDonald's in America. It's certainly nothing special, but there isn't anything wrong with the location.

Food was fine and it was cool to try the different items from the menu. Also, yes, french fries taste the same whether you buy them from the UK or America.",5 stars
"I will admit this was a first at this location as it is always so busy when I arrived there was a line almost out to the street and this is a double drive through was worried I would be there a while but only took about ten mins as they moved quick and to my surprise my fries were fresh and hot. Best fries I have had in a while. Also got a cheeseburger and I must admit I was also pleased as I hate it when I decide to actually eat 1,000 calories and my cheese is thrown in my hamburger and not even melted yucky. But all was right on this last time. Good cheez burg& ï¿½ï",5 stars
"Ridiculous.. i am not one to ridicule, this is pure ridiculousness... I should not have to check behind people that are begging for higher wages and they can't even get a kids meal right... you forgot the nuggets and I also ordered fries and apples... I received  double fries,  no nuggets, as well as missing the sauces that were to accompany the nuggets. I tried calling when I arrived back. No one answered the phone!!! Here is your negative review that could've been rectified with you answering the phone to address these issues",1 star
"Slowest McDonald's I have ever been to in my life. Took an hour just to order in drive thru... Then took another 20 minutes just to get our food (orders 2 burgers, apple pie, and 20pc nugget so shouldn't have taken to long at all",1 star
"Busy, under staffed, slow service, condiment stand a mess, out of lids, ketchup dispenser broken.  I ordered to eat in and my food was delivered to my table in a to go bag!  Why take a number and have an associate bring a to go bag to the table????  Very,  very ill-run and poorly  managed location.  Just  awful.",1 star
I should never have to wait more than 5 to 10 minutes for fast food. Waiting for over 20 minutes in the line now and I still haven't gotten my food. I understand this is Midsummer but they knew this was coming before hand. They should have the staff and the facilities to handle the business demand. This McDonalds sucks,2 stars
"I love this place, I've been to this place for year's and not even one time a worker has been rude to me.",5 stars
Unnecessary long wait time in drive thru. Drive thru is built for double cars and double pick up windows but still stayed behind 4 cars for 30 minutes. Only waited due to long drive home with kids in the car. Rude staff as well. Really wish I had noticed the Burger King across the street earlier. I would have even settled for checkers across the street and that's saying a lot because I don't think anyone willingly eats at checkers,1 star
